geography code,total,1,2,3,4,5,6+
E02001006,2801,7,74,149,989,770,812
E02001007,4396,2,49,311,896,1339,1799
E02001008,2843,6,77,331,791,800,838
E02001009,2975,8,68,423,640,861,975
E02001010,2468,16,89,264,800,634,665
E02001011,4125,5,32,212,728,926,2222
E02001012,2919,0,16,121,334,1129,1319
E02001013,2495,0,9,56,373,619,1438
E02001014,3650,2,42,398,826,1196,1186
E02001015,3762,17,140,646,1117,953,889
E02001016,3354,8,42,314,618,1299,1073
E02001017,4663,4,116,463,925,1470,1685
E02001018,3008,2,26,82,476,791,1631
E02001019,3982,8,74,324,1080,958,1538
E02001020,2483,1,9,72,297,474,1630
E02001021,3115,1,38,103,401,703,1869
E02001022,3326,4,39,267,550,907,1559
E02001023,2324,2,24,124,371,519,1284
E02001024,3341,3,17,95,673,946,1607
E02001025,3349,13,65,417,1069,979,806
E02001026,3671,25,135,407,1370,988,746
E02001027,3029,10,92,382,867,825,853
E02001028,3108,1,12,110,286,676,2023
E02001029,2880,8,78,315,700,777,1002
E02001030,2346,2,5,111,308,576,1344
E02001031,2841,10,46,346,612,785,1042
E02001032,3120,3,16,169,714,995,1223
E02001033,2390,7,44,181,686,779,693
E02001034,3831,8,117,834,1284,879,709
E02001035,2981,1,14,122,342,670,1832
E02001036,3011,5,29,173,720,954,1130
E02001037,3016,7,19,134,459,579,1818
E02001038,2637,8,40,417,563,702,907
E02001039,3443,3,37,275,602,1562,964
E02001040,2548,12,45,190,281,549,1471
E02001041,3369,22,98,263,611,1118,1257
E02001042,2875,27,129,432,497,543,1247
E02001043,2307,3,27,144,454,574,1105
E02001044,2790,6,31,195,168,513,1877
E02001045,3622,11,62,294,1046,1422,787
E02001046,3956,13,62,402,703,1499,1277
E02001047,4369,22,86,542,934,1571,1214
E02001048,3560,30,194,420,841,890,1185
E02001049,4049,5,37,187,599,1681,1540
E02001050,3195,30,150,455,716,1063,781
E02001051,3393,14,71,273,617,1216,1202
E02001052,4384,98,254,738,737,922,1635
E02001053,4494,35,143,845,1238,1310,923
E02001055,3829,24,134,440,966,1376,889
E02001056,3463,21,122,476,524,1589,731
E02001057,4018,69,432,1179,857,1015,466
E02001059,4369,43,274,861,1150,1324,717
E02001061,3863,23,119,527,844,1373,977
