geography code,total,OW,SO,SR,PR
E02003871,3058,875,1066,871,49
E02003872,4188,1997,1387,301,78
E02003873,2665,517,874,939,27
E02003794,3531,1425,1535,208,36
E02003795,2211,956,771,165,24
E02003796,3254,1269,977,747,41
E02003797,3990,1576,1542,148,40
E02003798,2488,467,782,1025,35
E02003799,3103,752,891,1224,38
E02003800,2603,1271,963,138,26
E02003801,2888,1189,1166,265,33
E02003802,4274,668,988,1029,51
E02003803,3869,758,837,481,68
E02003804,3217,868,1223,341,36
E02003805,2535,1232,933,122,21
E02003806,2547,1191,1034,61,19
E02003807,3832,1758,1177,242,43
E02003808,2776,589,1047,774,39
E02003809,3061,1165,915,229,128
E02003810,3445,1421,1163,307,60
E02003841,3462,1340,1040,672,43
E02003842,2367,1245,803,92,23
E02003843,2612,860,992,504,26
E02003844,2948,1313,1153,225,29
E02003845,3846,557,1153,1222,62
E02003846,2928,577,852,1184,46
E02003847,3844,1545,2011,21,32
E02003848,2135,579,761,621,34
E02003849,3003,471,910,1320,54
E02003850,2265,848,982,292,27
E02003851,2375,1039,1148,39,12
E02003852,2792,1192,1408,10,10
E02003874,4025,1726,1414,412,50
E02003875,2681,1254,1049,170,35
E02003876,2393,858,986,283,28
E02003877,3884,1820,1493,196,33
E02003878,3299,1424,1299,284,32
E02003879,2800,680,1043,425,22
E02003880,2755,978,991,548,33
E02003881,2730,708,1078,392,26
E02003882,3989,1041,1497,1019,55
E02003883,4031,1438,2026,107,23
E02003884,3318,1570,1249,206,40
E02003885,2408,1003,978,184,33
E02003886,2599,667,1092,527,28
E02003887,2496,731,1263,253,20
E02003888,2627,658,1017,606,21
E02003889,2297,544,648,917,36
E02003890,2454,771,983,375,15
E02003891,2455,1137,801,196,41
E02002574,2986,1308,1353,60,20
E02002575,3732,1117,2222,83,18
E02002576,3233,997,1175,627,39
E02002577,3287,686,831,1497,74
E02002578,3207,1012,1157,731,37
E02002579,3193,863,1086,940,37
E02002580,3426,603,851,1163,43
E02002581,3108,1223,1254,299,36
E02002582,3103,906,1937,88,11
E02002583,3093,441,549,1951,27
E02002584,3089,993,1239,577,31
E02002585,4897,1180,1714,905,46
E02002586,4060,732,1059,1943,59
E02002587,2919,506,1084,1057,23
E02002588,3245,561,909,1505,20
E02002589,2734,1308,1262,15,20
E02002590,2525,1191,998,137,21
E02002591,2772,1155,1038,335,17
E02002592,2557,1037,1096,209,27
E02002593,2367,687,952,484,18
E02002594,2472,447,951,839,14
E02002595,3409,589,981,1581,29
E02002596,3538,1273,1535,400,30
E02002597,3837,695,964,1901,43
E02002598,2892,522,1915,104,15
E02002599,4129,976,2335,423,33
E02002600,4104,1088,1536,889,46
E02002601,3343,1448,1414,226,26
E02002602,3166,500,956,1058,43
E02002603,2862,1246,1326,129,21
E02002604,3141,1322,1475,136,19
E02002605,3742,1067,1839,483,18
E02002606,4930,918,1619,822,30
E02002607,4868,1261,1440,977,65
E02002608,3526,1732,1460,77,29
E02002609,3731,764,1161,1114,36
E02002610,5171,1992,2129,386,42
E02002611,3253,1458,1429,165,27
E02002612,4009,1498,1645,410,42
E02002613,2402,1070,1111,24,23
E02002614,2394,1270,1041,9,7
E02003965,4705,2008,1445,722,78
E02003966,2945,1581,821,134,73
E02003967,3580,1490,1069,540,68
E02003968,3755,1555,1251,562,41
E02003969,2898,771,685,1201,48
E02003970,3454,1432,1103,396,54
E02003971,3513,1635,1071,379,60
E02003972,4141,1447,1502,709,42
E02003973,4132,1023,1019,1560,76
E02003974,3461,1145,1033,1095,47
E02003975,2749,1221,1060,247,34
E02003976,3012,1378,672,543,77
E02003977,2680,1103,1213,53,37
E02003978,2618,1045,1089,215,31
E02003979,3350,1980,1151,17,27
E02003980,3189,709,968,1056,56
E02003981,2990,1050,1415,76,35
E02003982,3224,1358,1384,283,27
E02003983,3426,925,1272,675,41
E02003984,3422,830,877,402,37
E02003985,3088,1307,1142,335,33
E02003986,3237,1116,1040,342,30
E02003987,2629,1127,770,273,81
E02003988,2948,1115,851,482,59
E02003989,3335,1420,1329,211,28
E02003990,4217,1824,1766,214,28
E02003991,3197,1500,1337,112,32
E02003992,4201,1106,1156,576,74
E02003993,3720,1830,1234,173,68
E02003994,3519,988,1083,734,40
E02003995,4475,1184,1465,1473,63
E02003996,4756,1127,1681,436,55
E02003997,4280,785,1457,1594,65
E02003998,3007,849,985,926,46
E02003999,4058,1899,1463,190,64
E02004000,2309,755,790,557,34
E02004001,2735,788,855,705,58
E02004002,4325,1661,1877,488,29
E02004003,5278,1917,1731,1110,71
E02004004,3983,1141,1258,1265,61
E02004005,3605,1243,1252,767,38
E02004006,3926,1929,1353,212,63
E02004007,4375,1881,1336,564,82
E02004008,2771,1250,778,262,78
E02004009,2493,1108,730,121,94
E02004010,3354,877,995,816,61
E02004011,4311,2103,1348,309,56
E02004012,2491,1178,537,245,84
E02004013,4319,1955,1229,319,109
E02004014,3304,1577,804,249,86
E02004015,2924,1174,471,620,81
E02004016,3738,1553,965,489,75
E02004017,3865,1449,1280,492,58
E02004018,3783,1094,1039,800,65
E02004019,3397,1672,1163,175,54
E02004020,3597,1593,1402,247,30
E02004021,2404,1119,554,161,72
E02004022,2493,1268,622,184,50
E02004023,2661,1199,604,266,90
E02004024,3107,1662,952,74,59
E02004025,3656,1809,1092,326,51
E02004026,3745,1269,1223,597,61
E02004027,3744,2080,904,253,87
E02004028,3438,1852,1134,169,35
E02000984,3146,1332,1465,27,22
E02000985,3205,1550,1283,129,17
E02000986,3682,1406,1494,178,52
E02000987,3288,957,1148,649,51
E02000988,3496,979,1135,760,67
E02000989,3637,1804,1423,180,31
E02000990,3286,1131,1446,266,22
E02000991,3316,1274,1398,204,31
E02000992,2518,1006,1077,181,25
E02000993,3135,433,704,1438,62
E02000994,3343,641,702,1359,88
E02000995,3430,1248,1055,752,58
E02000996,3321,578,697,1748,85
E02000997,2372,871,861,458,18
E02000998,3654,911,897,550,71
E02000999,3580,369,381,2093,131
E02001000,4123,1151,1300,673,64
E02001001,3197,1060,1229,245,48
E02001002,4018,1228,1519,862,44
E02001003,2850,1487,1119,49,24
E02001004,3185,799,403,1369,130
E02001005,3130,723,800,811,73
E02001006,2801,927,812,411,55
E02001007,4396,1667,1706,558,43
E02001008,2843,589,593,1160,87
E02001009,2975,805,850,822,47
E02001010,2468,596,773,565,29
E02001011,4125,1448,1958,202,28
E02001012,2919,919,1127,534,54
E02001013,2495,1070,1043,134,23
E02001014,3650,871,1371,856,45
E02001015,3762,809,1156,1143,82
E02001016,3354,532,959,1473,67
E02001017,4663,1300,1908,784,41
E02001018,3008,907,1605,202,26
E02001019,3982,1252,1627,439,47
E02001020,2483,1291,926,99,24
E02001021,3115,1135,1570,80,35
E02001022,3326,1229,1230,433,40
E02001023,2324,808,878,417,25
E02001024,3341,1233,1616,168,24
E02001025,3349,723,908,1304,64
E02001026,3671,748,1162,704,79
E02001027,3029,744,1206,347,45
E02001028,3108,1599,1262,119,25
E02001029,2880,776,949,612,71
E02001030,2346,834,1134,181,25
E02001031,2841,786,1014,547,37
